processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Xeon® 6516P-B Processor (80M Cache- 2.30 GHz),Xeon_Processors,20,40,3.5,2.3,80.0,35.0,115.0,1544.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6517P Processor (72M Cache- 3.20 GHz),Xeon_Processors,16,32,4.2,3.2,72.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6520P Processor (144M Cache- 2.40 GHz),Xeon_Processors,24,48,4.0,2.4,144.0,35.0,115.0,1295.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6521P Processor  (144M Cache- 2.60 GHz),Xeon_Processors,24,48,4.1,2.6,144.0,35.0,115.0,1250.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6523P-B Processor (96M Cache- 2.50 GHz),Xeon_Processors,24,48,3.9,2.5,96.0,35.0,115.0,1450.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6527P Processor (144M Cache- 3.00 GHz),Xeon_Processors,24,48,4.2,3.0,144.0,35.0,115.0,2878.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6530P Processor  (144M Cache- 2.30 GHz),Xeon_Processors,32,64,4.1,2.3,144.0,35.0,115.0,2234.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6533P-B Processor (128M Cache- 2.20 GHz),Xeon_Processors,32,64,3.9,2.2,128.0,35.0,115.0,1795.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6543P-B Processor (128M Cache- 2.00 GHz),Xeon_Processors,32,64,3.3,2.0,128.0,35.0,115.0,2206.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6546P-B Processor (128M Cache- 2.30 GHz),Xeon_Processors,32,64,3.5,2.3,128.0,35.0,115.0,2368.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6553P-B Processor (144M Cache- 2.60 GHz),Xeon_Processors,36,72,4.0,2.6,144.0,35.0,115.0,2402.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6556P-B Processor (144M Cache- 2.30 GHz),Xeon_Processors,36,72,3.5,2.3,144.0,35.0,115.0,2628.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6563P-B Processor (152M Cache- 2.40 GHz),Xeon_Processors,38,76,4.0,2.4,152.0,35.0,115.0,2616.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6706P-B Processor (160M Cache- 2.50 GHz),Xeon_Processors,40,80,3.5,2.5,160.0,35.0,115.0,3200.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6710E Processor (96M Cache- 2.40 GHz),Xeon_Processors,64,64,3.2,2.4,96.0,35.0,115.0,2199.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,1.5
Intel® Xeon® 6714P Processor (48M Cache- 4.00 GHz),Xeon_Processors,8,16,4.3,4.0,48.0,35.0,115.0,2816.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6716P-B Processor (160M Cache- 2.50 GHz),Xeon_Processors,40,80,3.5,2.5,160.0,35.0,115.0,3200.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6724P Processor (72M Cache- 3.60 GHz),Xeon_Processors,16,32,4.3,3.6,72.0,35.0,115.0,3622.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6726P-B Processor (168M Cache- 2.30 GHz),Xeon_Processors,42,84,3.5,2.3,168.0,35.0,115.0,3795.0,1.13,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6728P Processor (144M Cache- 2.70 GHz),Xeon_Processors,24,48,4.1,2.7,144.0,35.0,115.0,2478.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6730P Processor (288M Cache- 2.50 GHz),Xeon_Processors,32,64,3.8,2.5,288.0,35.0,115.0,3726.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,9.0
Intel® Xeon® 6731E Processor (96M Cache- 2.20 GHz),Xeon_Processors,96,96,3.1,2.2,96.0,35.0,115.0,3297.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,1.0
Intel® Xeon® 6731P Processor  (144M Cache- 2.50 GHz),Xeon_Processors,32,64,4.1,2.5,144.0,35.0,115.0,2700.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6732P Processor (144M Cache- 3.80 GHz),Xeon_Processors,32,64,4.3,3.8,144.0,35.0,115.0,5295.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6736P Processor  (144M Cache- 2.00 GHz),Xeon_Processors,36,72,4.1,2.0,144.0,35.0,115.0,3351.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6737P Processor  (144M Cache- 2.90 GHz),Xeon_Processors,32,64,4.0,2.9,144.0,35.0,115.0,4995.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6738P Processor  (144M Cache- 2.90 GHz),Xeon_Processors,32,64,4.2,2.9,144.0,35.0,115.0,6540.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.5
Intel® Xeon® 6740E Processor (96M Cache- 2.40 GHz),Xeon_Processors,96,96,3.2,2.4,96.0,35.0,115.0,3949.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,1.0
Intel® Xeon® 6740P Processor (288M Cache- 2.10 GHz),Xeon_Processors,48,96,3.8,2.1,288.0,35.0,115.0,4650.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6741P Processor (288M Cache- 2.50 GHz),Xeon_Processors,48,96,3.8,2.5,288.0,35.0,115.0,4421.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6745P Processor (336M Cache- 3.10 GHz),Xeon_Processors,32,64,4.3,3.1,336.0,35.0,115.0,5250.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,10.5
Intel® Xeon® 6746E Processor (96M Cache- 2.00 GHz),Xeon_Processors,112,112,2.7,2.0,96.0,35.0,115.0,4447.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,0.8571428571428571
Intel® Xeon® 6747P Processor (288M Cache- 2.70 GHz),Xeon_Processors,48,96,3.9,2.7,288.0,35.0,115.0,1195.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,6.0
Intel® Xeon® 6748P Processor  (192M Cache- 2.50 GHz),Xeon_Processors,48,96,4.1,2.5,192.0,35.0,115.0,12702.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,4.0
Intel® Xeon® 6756E Processor (96M Cache- 1.80 GHz),Xeon_Processors,128,128,2.6,1.8,96.0,35.0,115.0,6320.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,0.75
